ㄌㄩㄝ lüē ⠉⠦⠄ xm, lve1 c8'
ㄌㄩㄢ lüān ⠉⠘⠄ xm0 lvan1 c^'
ㄌㄩㄣ lǖn ⠉⠲⠄ xmp lvn1 c4'
ㄍㄚ gā ⠅⠜⠄ e8 ga1 k>'
ㄍㄜ gē ⠅⠮⠄ ek ge1 k!'
ㄍㄞ gāi ⠅⠺⠄ e9 gai1 kw'
ㄍㄟ gēi ⠅⠴⠄ eo gei1 k0'
ㄍㄠ gāo ⠅⠩⠄ el gao1 k%'
ㄍㄡ gōu ⠅⠷⠄ e. gou1 k('
ㄍㄢ gān ⠅⠧⠄ e0 gan1 kv'
ㄍㄣ gēn ⠅⠥⠄ ep gen1 ku'
ㄍㄤ gāng ⠅⠭⠄ e; gang1 kx'
ㄍㄥ gēng ⠅⠵⠄ e/ geng1 kz'
ㄍㄨ gū ⠅⠌⠄ ej gu1 k/'
ㄍㄨㄚ guā ⠅⠔⠄ ej8 gua1 k9'
ㄍㄨㄛ guō ⠅⠒⠄ eji guo1 k3'
ㄍㄨㄞ guāi ⠅⠶⠄ ej9 guai1 k7'
ㄍㄨㄟ guī ⠅⠫⠄ ejo gui1 k$'
ㄍㄨㄢ guān ⠅⠻⠄ ej0 guan1 k]'
ㄍㄨㄣ gūn ⠅⠿⠄ ejp gun1 k='
ㄍㄨㄤ guāng ⠅⠸⠄ ej; guang1 k_'
ㄍㄨㄥ gōng ⠅⠯⠄ ej/ gong1 k&'
ㄎㄚ kā ⠇⠜⠄ d8 ka1 l>'
ㄎㄜ kē ⠇⠮⠄ dk ke1 l!'
ㄎㄞ kāi ⠇⠺⠄ d9 kai1 lw'
ㄎㄠ kāo ⠇⠩⠄ dl kao1 l%'
ㄎㄡ kōu ⠇⠷⠄ d. kou1 l('
ㄎㄢ kān ⠇⠧⠄ d0 kan1 lv'
ㄎㄣ kēn ⠇⠥⠄ dp ken1 lu'
ㄎㄤ kāng ⠇⠭⠄ d; kang1 lx'
ㄎㄥ kēng ⠇⠵⠄ d/ keng1 lz'
ㄎㄨ kū ⠇⠌⠄ dj ku1 l/'
ㄎㄨㄚ kuā ⠇⠔⠄ dj8 kua1 l9'
ㄎㄨㄛ kuō ⠇⠒⠄ dji kuo1 l3'
ㄎㄨㄞ kuāi ⠇⠶⠄ dj9 kuai1 l7'
ㄎㄨㄟ kuī ⠇⠫⠄ djo kui1 l$'
ㄎㄨㄢ kuān ⠇⠻⠄ dj0 kuan1 l]'
ㄎㄨㄣ kūn ⠇⠿⠄ djp kun1 l='
ㄎㄨㄤ kuāng ⠇⠸⠄ dj; kuang1 l_'
ㄎㄨㄥ kōng ⠇⠯⠄ dj/ kong1 l&'
ㄏㄚ hā ⠗⠜⠄ c8 ha1 r>'
ㄏㄜ hē ⠗⠮⠄ ck he1 r!'
ㄏㄞ hāi ⠗⠺⠄ c9 hai1 rw'
ㄏㄟ hēi ⠗⠴⠄ co hei1 r0'
ㄏㄠ hāo ⠗⠩⠄ cl hao1 r%'
ㄏㄡ hōu ⠗⠷⠄ c. hou1 r('
ㄏㄢ hān ⠗⠧⠄ c0 han1 rv'
ㄏㄣ hēn ⠗⠥⠄ cp hen1 ru'
ㄏㄤ hāng ⠗⠭⠄ c; hang1 rx'
ㄏㄥ hēng ⠗⠵⠄ c/ heng1 rz'
ㄏㄨ hū ⠗⠌⠄ cj hu1 r/'
ㄏㄨㄚ huā ⠗⠔⠄ cj8 hua1 r9'
ㄏㄨㄛ huō ⠗⠒⠄ cji huo1 r3'
ㄏㄨㄞ huāi ⠗⠶⠄ cj9 huai1 r7'
ㄏㄨㄟ huī ⠗⠫⠄ cjo hui1 r$'
ㄏㄨㄢ huān ⠗⠻⠄ cj0 huan1 r]'
ㄏㄨㄣ hūn ⠗⠿⠄ cjp hun1 r='
ㄏㄨㄤ huāng ⠗⠸⠄ cj; huang1 r_'
ㄏㄨㄥ hōng ⠗⠯⠄ cj/ hong1 r&'
ㄐㄧ jī ⠅⠡⠄ ru ji1 k*'
ㄐㄧㄚ jiā ⠅⠾⠄ ru8 jia1 k)'
ㄐㄧㄝ jiē ⠅⠬⠄ ru, jie1 k+'
ㄐㄧㄠ jiāo ⠅⠪⠄ rul jiao1 k['
ㄐㄧㄡ jiū ⠅⠎⠄ ru. jiu1 ks'
ㄐㄧㄢ jiān ⠅⠞⠄ ru0 jian1 kt'
ㄐㄧㄣ jīn ⠅⠹⠄ rup jin1 k?'
ㄐㄧㄤ jiāng ⠅⠨⠄ ru; jiang1 k.'
ㄐㄧㄥ jīng ⠅⠽⠄ ru/ jing1 ky'
ㄐㄩ jū ⠅⠳⠄ rm ju1 k\'
ㄐㄩㄝ juē ⠅⠦⠄ rm, jue1 k8'
ㄐㄩㄢ juān ⠅⠘⠄ rm0 juan1 k^'
ㄐㄩㄣ jūn ⠅⠲⠄ rmp jun1 k4'
ㄐㄩㄥ jiōng ⠅⠖⠄ rm/ jiong1 k6'
ㄑㄧ qī ⠚⠡⠄ fu qi1 j*'
ㄑㄧㄚ qiā ⠚⠾⠄ fu8 qia1 j)'
ㄑㄧㄝ qiē ⠚⠬⠄ fu, qie1 j+'
ㄑㄧㄠ qiāo ⠚⠪⠄ ful qiao1 j['
ㄑㄧㄡ qiū ⠚⠎⠄ fu. qiu1 js'
ㄑㄧㄢ qiān ⠚⠞⠄ fu0 qian1 jt'
ㄑㄧㄣ qīn ⠚⠹⠄ fup qin1 j?'
ㄑㄧㄤ qiāng ⠚⠨⠄ fu; qiang1 j.'
ㄑㄧㄥ qīng ⠚⠽⠄ fu/ qing1 jy'
ㄑㄩ qū ⠚⠳⠄ fm qu1 j\'
ㄑㄩㄝ quē ⠚⠦⠄ fm, que1 j8'
ㄑㄩㄢ quān ⠚⠘⠄ fm0 quan1 j^'
ㄑㄩㄣ qūn ⠚⠲⠄ fmp qun1 j4'
ㄑㄩㄥ qiōng ⠚⠖⠄ fm/ qiong1 j6'
ㄒㄧ xī ⠑⠡⠄ vu xi1 e*'
ㄒㄧㄚ xiā ⠑⠾⠄ vu8 xia1 e)'
ㄒㄧㄝ xiē ⠑⠬⠄ vu, xie1 e+'
ㄒㄧㄠ xiāo ⠑⠪⠄ vul xiao1 e['
ㄒㄧㄡ xiū ⠑⠎⠄ vu. xiu1 es'
ㄒㄧㄢ xiān ⠑⠞⠄ vu0 xian1 et'
ㄒㄧㄣ xīn ⠑⠹⠄ vup xin1 e?'
ㄒㄧㄤ xiāng ⠑⠨⠄ vu; xiang1 e.'
ㄒㄧㄥ xīng ⠑⠽⠄ vu/ xing1 ey'
ㄒㄩ xū ⠑⠳⠄ vm xu1 e\'
ㄒㄩㄝ xuē ⠑⠦⠄ vm, xue1 e8'
ㄒㄩㄢ xuān ⠑⠘⠄ vm0 xuan1 e^'
ㄒㄩㄣ xūn ⠑⠲⠄ vmp xun1 e4'
ㄒㄩㄥ xiōng ⠑⠖⠄ vm/ xiong1 e6'
ㄓ zhī ⠁⠱⠄ 5 zhi1 a:'
ㄓㄚ zhā ⠁⠜⠄ 58 zha1 a>'
ㄓㄜ zhē ⠁⠮⠄ 5k zhe1 a!'
ㄓㄞ zhāi ⠁⠺⠄ 59 zhai1 aw'
ㄓㄟ zhēi ⠁⠴⠄ 5o zhei1 a0'
ㄓㄠ zhāo ⠁⠩⠄ 5l zhao1 a%'
ㄓㄡ zhōu ⠁⠷⠄ 5 zhou1 a('
ㄓㄢ zhān ⠁⠧⠄ 50 zhan1 av'
ㄓㄣ zhēn ⠁⠥⠄ 5p zhen1 au'
ㄓㄤ zhāng ⠁⠭⠄ 5; zhang1 ax'
ㄓㄥ zhēng ⠁⠵⠄ 5/ zheng1 az'
ㄓㄨ zhū ⠁⠌⠄ 5j zhu1 a/'
ㄓㄨㄚ zhuā ⠁⠔⠄ 5j8 zhua1 a9'
ㄓㄨㄛ zhuō ⠁⠒⠄ 5ji zhuo1 a3'
ㄓㄨㄞ zhuāi ⠁⠶⠄ 5j9 zhuai1 a7'
ㄓㄨㄟ zhuī ⠁⠫⠄ 5jo zhui1 a$'
ㄓㄨㄢ zhuān ⠁⠻⠄ 5j0 zhuan1 a]'
ㄓㄨㄣ zhūn ⠁⠿⠄ 5jp zhun1 a='
ㄓㄨㄤ zhuāng ⠁⠸⠄ 5j; zhuang1 a_'
ㄓㄨㄥ zhōng ⠁⠯⠄ 5j/ zhong1 a&'
ㄔ chī ⠃⠱⠄ t chi1 b:'
ㄔㄚ chā ⠃⠜⠄ t8 cha1 b>'
ㄔㄜ chē ⠃⠮⠄ tk che1 b!'
